,Team,Year,Wins,Losses,Win Percentage,Goals Scored
440,                            Colorado Avalanche                        ,                            2007                        ,                            44                        ,                            31                        ,                            0.537                        ,                            231                        
441,                            Dallas Stars                        ,                            2007                        ,                            45                        ,                            30                        ,                            0.549                        ,                            242                        
442,                            Detroit Red Wings                        ,                            2007                        ,                            54                        ,                            21                        ,                            0.659                        ,                            257                        
443,                            Edmonton Oilers                        ,                            2007                        ,                            41                        ,                            35                        ,                            0.5                        ,                            235                        
444,                            Florida Panthers                        ,                            2007                        ,                            38                        ,                            35                        ,                            0.463                        ,                            216                        
445,                            Los Angeles Kings                        ,                            2007                        ,                            32                        ,                            43                        ,                            0.39                        ,                            231                        
446,                            Minnesota Wild                        ,                            2007                        ,                            44                        ,                            28                        ,                            0.537                        ,                            223                        
447,                            Montreal Canadiens                        ,                            2007                        ,                            47                        ,                            25                        ,                            0.573                        ,                            262                        
448,                            Nashville Predators                        ,                            2007                        ,                            41                        ,                            32                        ,                            0.5                        ,                            230                        
449,                            New Jersey Devils                        ,                            2007                        ,                            46                        ,                            29                        ,                            0.561                        ,                            206                        
450,                            New York Islanders                        ,                            2007                        ,                            35                        ,                            38                        ,                            0.427                        ,                            194                        
451,                            New York Rangers                        ,                            2007                        ,                            42                        ,                            27                        ,                            0.512                        ,                            213                        
452,                            Ottawa Senators                        ,                            2007                        ,                            43                        ,                            31                        ,                            0.524                        ,                            261                        
453,                            Philadelphia Flyers                        ,                            2007                        ,                            42                        ,                            29                        ,                            0.512                        ,                            248                        
454,                            Phoenix Coyotes                        ,                            2007                        ,                            38                        ,                            37                        ,                            0.463                        ,                            214                        
455,                            Pittsburgh Penguins                        ,                            2007                        ,                            47                        ,                            27                        ,                            0.573                        ,                            247                        
456,                            San Jose Sharks                        ,                            2007                        ,                            49                        ,                            23                        ,                            0.598                        ,                            222                        
457,                            St. Louis Blues                        ,                            2007                        ,                            33                        ,                            36                        ,                            0.402                        ,                            205                        
458,                            Tampa Bay Lightning                        ,                            2007                        ,                            31                        ,                            42                        ,                            0.378                        ,                            223                        
459,                            Toronto Maple Leafs                        ,                            2007                        ,                            36                        ,                            35                        ,                            0.439                        ,                            231                        
460,                            Vancouver Canucks                        ,                            2007                        ,                            39                        ,                            33                        ,                            0.476                        ,                            213                        
461,                            Washington Capitals                        ,                            2007                        ,                            43                        ,                            31                        ,                            0.524                        ,                            242                        
462,                            Anaheim Ducks                        ,                            2008                        ,                            42                        ,                            33                        ,                            0.512                        ,                            245                        
463,                            Atlanta Thrashers                        ,                            2008                        ,                            35                        ,                            41                        ,                            0.427                        ,                            257                        
464,                            Boston Bruins                        ,                            2008                        ,                            53                        ,                            19                        ,                            0.646                        ,                            274                        
465,                            Buffalo Sabres                        ,                            2008                        ,                            41                        ,                            32                        ,                            0.5                        ,                            250                        
466,                            Calgary Flames                        ,                            2008                        ,                            46                        ,                            30                        ,                            0.561                        ,                            254                        
467,                            Carolina Hurricanes                        ,                            2008                        ,                            45                        ,                            30                        ,                            0.549                        ,                            239                        
468,                            Columbus Blue Jackets                        ,                            2008                        ,                            41                        ,                            31                        ,                            0.5                        ,                            226                        
469,                            Chicago Blackhawks                        ,                            2008                        ,                            46                        ,                            24                        ,                            0.561                        ,                            264                        
470,                            Colorado Avalanche                        ,                            2008                        ,                            32                        ,                            45                        ,                            0.39                        ,                            199                        
471,                            Dallas Stars                        ,                            2008                        ,                            36                        ,                            35                        ,                            0.439                        ,                            230                        
472,                            Detroit Red Wings                        ,                            2008                        ,                            51                        ,                            21                        ,                            0.622                        ,                            295                        
473,                            Edmonton Oilers                        ,                            2008                        ,                            38                        ,                            35                        ,                            0.463                        ,                            234                        
474,                            Florida Panthers                        ,                            2008                        ,                            41                        ,                            30                        ,                            0.5                        ,                            234                        
475,                            Los Angeles Kings                        ,                            2008                        ,                            34                        ,                            37                        ,                            0.415                        ,                            207                        
476,                            Minnesota Wild                        ,                            2008                        ,                            40                        ,                            33                        ,                            0.488                        ,                            219                        
477,                            Montreal Canadiens                        ,                            2008                        ,                            41                        ,                            30                        ,                            0.5                        ,                            249                        
478,                            Nashville Predators                        ,                            2008                        ,                            40                        ,                            34                        ,                            0.488                        ,                            213                        
479,                            New Jersey Devils                        ,                            2008                        ,                            51                        ,                            27                        ,                            0.622                        ,                            244                        
480,                            New York Islanders                        ,                            2008                        ,                            26                        ,                            47                        ,                            0.317                        ,                            201                        
481,                            New York Rangers                        ,                            2008                        ,                            43                        ,                            30                        ,                            0.524                        ,                            210                        
482,                            Ottawa Senators                        ,                            2008                        ,                            36                        ,                            35                        ,                            0.439                        ,                            217                        
483,                            Philadelphia Flyers                        ,                            2008                        ,                            44                        ,                            27                        ,                            0.537                        ,                            264                        
484,                            Phoenix Coyotes                        ,                            2008                        ,                            36                        ,                            39                        ,                            0.439                        ,                            208                        
485,                            Pittsburgh Penguins                        ,                            2008                        ,                            45                        ,                            28                        ,                            0.549                        ,                            264                        
486,                            San Jose Sharks                        ,                            2008                        ,                            53                        ,                            18                        ,                            0.646                        ,                            257                        
487,                            St. Louis Blues                        ,                            2008                        ,                            41                        ,                            31                        ,                            0.5                        ,                            233                        
488,                            Tampa Bay Lightning                        ,                            2008                        ,                            24                        ,                            40                        ,                            0.293                        ,                            210                        
489,                            Toronto Maple Leafs                        ,                            2008                        ,                            34                        ,                            35                        ,                            0.415                        ,                            250                        
490,                            Vancouver Canucks                        ,                            2008                        ,                            45                        ,                            27                        ,                            0.549                        ,                            246                        
491,                            Washington Capitals                        ,                            2008                        ,                            50                        ,                            24                        ,                            0.61                        ,                            272                        
492,                            Anaheim Ducks                        ,                            2009                        ,                            39                        ,                            32                        ,                            0.476                        ,                            238                        
493,                            Atlanta Thrashers                        ,                            2009                        ,                            35                        ,                            34                        ,                            0.427                        ,                            234                        
494,                            Boston Bruins                        ,                            2009                        ,                            39                        ,                            30                        ,                            0.476                        ,                            206                        
495,                            Buffalo Sabres                        ,                            2009                        ,                            45                        ,                            27                        ,                            0.549                        ,                            235                        
496,                            Calgary Flames                        ,                            2009                        ,                            40                        ,                            32                        ,                            0.488                        ,                            204                        
497,                            Carolina Hurricanes                        ,                            2009                        ,                            35                        ,                            37                        ,                            0.427                        ,                            230                        
498,                            Columbus Blue Jackets                        ,                            2009                        ,                            32                        ,                            35                        ,                            0.39                        ,                            216                        
499,                            Chicago Blackhawks                        ,                            2009                        ,                            52                        ,                            22                        ,                            0.634                        ,                            271                        
500,                            Colorado Avalanche                        ,                            2009                        ,                            43                        ,                            30                        ,                            0.524                        ,                            244                        
501,                            Dallas Stars                        ,                            2009                        ,                            37                        ,                            31                        ,                            0.451                        ,                            237                        
502,                            Detroit Red Wings                        ,                            2009                        ,                            44                        ,                            24                        ,                            0.537                        ,                            229                        
503,                            Edmonton Oilers                        ,                            2009                        ,                            27                        ,                            47                        ,                            0.329                        ,                            214                        
504,                            Florida Panthers                        ,                            2009                        ,                            32                        ,                            37                        ,                            0.39                        ,                            208                        
505,                            Los Angeles Kings                        ,                            2009                        ,                            46                        ,                            27                        ,                            0.561                        ,                            241                        
506,                            Minnesota Wild                        ,                            2009                        ,                            38                        ,                            36                        ,                            0.463                        ,                            219                        
507,                            Montreal Canadiens                        ,                            2009                        ,                            39                        ,                            33                        ,                            0.476                        ,                            217                        
508,                            Nashville Predators                        ,                            2009                        ,                            47                        ,                            29                        ,                            0.573                        ,                            225                        
509,                            New Jersey Devils                        ,                            2009                        ,                            48                        ,                            27                        ,                            0.585                        ,                            222                        
510,                            New York Islanders                        ,                            2009                        ,                            34                        ,                            37                        ,                            0.415                        ,                            222                        
511,                            New York Rangers                        ,                            2009                        ,                            38                        ,                            33                        ,                            0.463                        ,                            222                        
512,                            Ottawa Senators                        ,                            2009                        ,                            44                        ,                            32                        ,                            0.537                        ,                            225                        
513,                            Philadelphia Flyers                        ,                            2009                        ,                            41                        ,                            35                        ,                            0.5                        ,                            236                        
514,                            Phoenix Coyotes                        ,                            2009                        ,                            50                        ,                            25                        ,                            0.61                        ,                            225                        
515,                            Pittsburgh Penguins                        ,                            2009                        ,                            47                        ,                            28                        ,                            0.573                        ,                            257                        
516,                            San Jose Sharks                        ,                            2009                        ,                            51                        ,                            20                        ,                            0.622                        ,                            264                        
517,                            St. Louis Blues                        ,                            2009                        ,                            40                        ,                            32                        ,                            0.488                        ,                            225                        
518,                            Tampa Bay Lightning                        ,                            2009                        ,                            34                        ,                            36                        ,                            0.415                        ,                            217                        
519,                            Toronto Maple Leafs                        ,                            2009                        ,                            30                        ,                            38                        ,                            0.366                        ,                            214                        
520,                            Vancouver Canucks                        ,                            2009                        ,                            49                        ,                            28                        ,                            0.598                        ,                            272                        
521,                            Washington Capitals                        ,                            2009                        ,                            54                        ,                            15                        ,                            0.659                        ,                            318                        
522,                            Anaheim Ducks                        ,                            2010                        ,                            47                        ,                            30                        ,                            0.573                        ,                            239                        
523,                            Atlanta Thrashers                        ,                            2010                        ,                            34                        ,                            36                        ,                            0.415                        ,                            223                        
524,                            Boston Bruins                        ,                            2010                        ,                            46                        ,                            25                        ,                            0.561                        ,                            246                        
525,                            Buffalo Sabres                        ,                            2010                        ,                            43                        ,                            29                        ,                            0.524                        ,                            245                        
526,                            Calgary Flames                        ,                            2010                        ,                            41                        ,                            29                        ,                            0.5                        ,                            250                        
527,                            Carolina Hurricanes                        ,                            2010                        ,                            40                        ,                            31                        ,                            0.488                        ,                            236                        
528,                            Columbus Blue Jackets                        ,                            2010                        ,                            34                        ,                            35                        ,                            0.415                        ,                            215                        
529,                            Chicago Blackhawks                        ,                            2010                        ,                            44                        ,                            29                        ,                            0.537                        ,                            258                        
530,                            Colorado Avalanche                        ,                            2010                        ,                            30                        ,                            44                        ,                            0.366                        ,                            227                        
531,                            Dallas Stars                        ,                            2010                        ,                            42                        ,                            29                        ,                            0.512                        ,                            227                        
532,                            Detroit Red Wings                        ,                            2010                        ,                            47                        ,                            25                        ,                            0.573                        ,                            261                        
533,                            Edmonton Oilers                        ,                            2010                        ,                            25                        ,                            45                        ,                            0.305                        ,                            193                        
534,                            Florida Panthers                        ,                            2010                        ,                            30                        ,                            40                        ,                            0.366                        ,                            195                        
535,                            Los Angeles Kings                        ,                            2010                        ,                            46                        ,                            30                        ,                            0.561                        ,                            219                        
536,                            Minnesota Wild                        ,                            2010                        ,                            39                        ,                            35                        ,                            0.476                        ,                            206                        
537,                            Montreal Canadiens                        ,                            2010                        ,                            44                        ,                            30                        ,                            0.537                        ,                            216                        
538,                            Nashville Predators                        ,                            2010                        ,                            44                        ,                            27                        ,                            0.537                        ,                            219                        
539,                            New Jersey Devils                        ,                            2010                        ,                            38                        ,                            39                        ,                            0.463                        ,                            174                        
540,                            New York Islanders                        ,                            2010                        ,                            30                        ,                            39                        ,                            0.366                        ,                            229                        
541,                            New York Rangers                        ,                            2010                        ,                            44                        ,                            33                        ,                            0.537                        ,                            233                        
542,                            Ottawa Senators                        ,                            2010                        ,                            32                        ,                            40                        ,                            0.39                        ,                            192                        
543,                            Philadelphia Flyers                        ,                            2010                        ,                            47                        ,                            23                        ,                            0.573                        ,                            259                        
544,                            Phoenix Coyotes                        ,                            2010                        ,                            43                        ,                            26                        ,                            0.524                        ,                            231                        
545,                            Pittsburgh Penguins                        ,                            2010                        ,                            49                        ,                            25                        ,                            0.598                        ,                            238                        
546,                            San Jose Sharks                        ,                            2010                        ,                            48                        ,                            25                        ,                            0.585                        ,                            248                        
547,                            St. Louis Blues                        ,                            2010                        ,                            38                        ,                            33                        ,                            0.463                        ,                            240                        
548,                            Tampa Bay Lightning                        ,                            2010                        ,                            46                        ,                            25                        ,                            0.561                        ,                            247                        
549,                            Toronto Maple Leafs                        ,                            2010                        ,                            37                        ,                            34                        ,                            0.451                        ,                            218                        
550,                            Vancouver Canucks                        ,                            2010                        ,                            54                        ,                            19                        ,                            0.659                        ,                            262                        
551,                            Washington Capitals                        ,                            2010                        ,                            48                        ,                            23                        ,                            0.585                        ,                            224                        
552,                            Anaheim Ducks                        ,                            2011                        ,                            34                        ,                            36                        ,                            0.415                        ,                            204                        
553,                            Boston Bruins                        ,                            2011                        ,                            49                        ,                            29                        ,                            0.598                        ,                            269                        
554,                            Buffalo Sabres                        ,                            2011                        ,                            39                        ,                            32                        ,                            0.476                        ,                            218                        
555,                            Calgary Flames                        ,                            2011                        ,                            37                        ,                            29                        ,                            0.451                        ,                            202                        
556,                            Carolina Hurricanes                        ,                            2011                        ,                            33                        ,                            33                        ,                            0.402                        ,                            213                        
557,                            Columbus Blue Jackets                        ,                            2011                        ,                            29                        ,                            46                        ,                            0.354                        ,                            202                        
558,                            Chicago Blackhawks                        ,                            2011                        ,                            45                        ,                            26                        ,                            0.549                        ,                            248                        
559,                            Colorado Avalanche                        ,                            2011                        ,                            41                        ,                            35                        ,                            0.5                        ,                            208                        
560,                            Dallas Stars                        ,                            2011                        ,                            42                        ,                            35                        ,                            0.512                        ,                            211                        
561,                            Detroit Red Wings                        ,                            2011                        ,                            48                        ,                            28                        ,                            0.585                        ,                            248                        
562,                            Edmonton Oilers                        ,                            2011                        ,                            32                        ,                            40                        ,                            0.39                        ,                            212                        
563,                            Florida Panthers                        ,                            2011                        ,                            38                        ,                            26                        ,                            0.463                        ,                            203                        
564,                            Los Angeles Kings                        ,                            2011                        ,                            40                        ,                            27                        ,                            0.488                        ,                            194                        
565,                            Minnesota Wild                        ,                            2011                        ,                            35                        ,                            36                        ,                            0.427                        ,                            177                        
566,                            Montreal Canadiens                        ,                            2011                        ,                            31                        ,                            35                        ,                            0.378                        ,                            212                        
